Period,Team,Player,Type,X,Y,X2,Y2,Distance
1,Home,Pelletier,Goal,-74.23,2.09,,,14.91
1,Home,Geekie,Goal,-71.92,-5.67,,,18
1,Away,Halverson,Shot,65.85,5.25,,,23.74
1,Away,Halverson,Goal,79.23,1.71,,,9.92
1,Home,Stachowiak,Goal,-72.84,-0.36,,,16.16
1,Away,Halverson,Goal,73,-1.44,,,16.06
1,Home,Pelletier,Shot,-75.61,0.1,,,13.39
1,Away,Halverson,Goal,67,-6.59,,,22.96
1,Home,Abruzzese,Shot,-72.84,-5.21,,,16.98
1,Away,Fanti,Shot,73.16,-3.82,,,16.3
1,Home,Geekie,Shot,-69.46,-6.59,,,20.62
1,Home,Groshev,Goal,-71.31,3.41,,,18.02
1,Away,Fanti,Miss,77.31,-0.98,,,11.73
1,Away,Fanti,Miss,71.31,-2.13,,,17.82
OT,Home,Charle-Edouard D'Astous,Shot,-70.91,-4.25,,,
OT,Home,Max Groshev,Goal,-69.09,3.3,,,
OT,Home,Max Groshev,Goal,-68.18,0.12,,,
OT,Home,Max Groshev,Shot,-69.09,6.85,,,
OT,Home,Gabriel Sturzc,Goal,-80.42,1.93,,,
OT,Home,Gabriel Sturzc,Miss,-73.42,-0.23,,,
OT,Home,Gabriel Sturzc,Miss,-76.17,1.43,,,
OT,Home,Nick Abruzzese,Goal,-67.42,-2.32,,,
OT,Home,Nick Abruzzese,Miss,-66.67,-5.07,,,
OT,Home,Nick Abruzzese,Miss,-75.92,-0.4,,,
OT,Home,Wojciech Stachowiak,Goal,-78.92,-0.4,,,
OT,Home,Conor Geekie,Goal,-69.92,-8.23,,,
OT,Home,Conor Geekie,Miss,-69.92,-7.48,,,

