Name,Total_Faceoffs,Overall,Offensive,Defensive,Neutral
Boris Katchouk,17.00,0.29,0.38,0.00,0.25
Brendan Furry,4.00,0.25,0.00,0.50,0
Conor Geekie,64.00,0.50,0.50,0.47,0.5333
Dominic James,4.00,0.75,1.00,0.50,1
Ethan Gauthier,1.00,0.00,0.00,0.00,0
Gabriel Szturc,15.00,0.67,0.50,0.67,0.8333
Jakob Pelletier,2.00,0.50,0.00,0.00,1
Lucas Mercuri,24.00,0.63,0.50,0.67,0.6364
Mitchell Chaffee,3.00,0.67,0.00,0.00,1
Nick Abruzzese,3.00,0.67,0.67,0.00,0
Scott Sabourin,1.00,0.00,0.00,0.00,0
Tristan Allard,14.00,0.64,0.80,0.67,0.5
Wojciech Stachowiak,49.00,0.49,0.36,0.50,0.5652
